Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,4.75607E+11,4.77265E+11,4.56934E+11,4.49963E+11,4.4299E+11,4.35872E+11,4.28648E+11,4.21471E+11,4.14233E+11,4.07065E+11,3.99871E+11,3.92674E+11,3.85573E+11,3.78492E+11,3.71448E+11,3.64518E+11,3.5764E+11,3.50882E+11,3.44189E+11,3.37569E+11,3.31074E+11,3.24659E+11,3.18329E+11,3.12125E+11,3.06007E+11,3.00013E+11,2.94107E+11,2.88289E+11,2.82588E+11,2.76972E+11,2.71467E+11,2.66045E+11,2.60702E+11,2.55459E+11,2.50291E+11,2.45214E+11,2.40205E+11,2.3526E+11,2.30393E+11,2.25582E+11,2.20838E+11,2.16142E+11
coal mining 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other mining and quarrying 07T08,8.22229E+12,8.11559E+12,8.55039E+12,8.74772E+12,8.936E+12,9.1154E+12,9.28903E+12,9.45375E+12,9.61864E+12,9.78369E+12,9.94887E+12,1.00992E+13,1.0249E+13,1.03984E+13,1.05472E+13,1.06951E+13,1.08315E+13,1.09773E+13,1.11217E+13,1.12645E+13,1.14054E+13,1.15372E+13,1.16477E+13,1.17476E+13,1.18364E+13,1.19136E+13,1.19788E+13,1.20314E+13,1.20711E+13,1.20975E+13,1.21101E+13,1.21087E+13,1.20809E+13,1.20386E+13,1.19814E+13,1.19094E+13,1.18225E+13,1.17204E+13,1.16032E+13,1.1471E+13,1.13239E+13,1.1162E+13
Mining Support Service Activities 09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,62545291090,78728507957,72058909018,72486417177,72774846657,72976289028,73122059024,73192690523,73262761440,73333641904,73406251043,73372408984,73340982231,73311922074,73284962664,73258935584,73160856046,73134107840,73104744459,73071164115,73031706155,72940604442,72724099491,72452514572,72124629906,71738655675,71293688222,70789003342,70224070303,69597869080,68910311158,68160855804,67282392423,66344155620,65346599029,64290470247,63176815864,62006358193,60780783314,59501478436,58170770753,56790705414
textiles apparel and leather 13T15,21912741289,23484608343,25410779132,23444874556,23266035163,23065450500,22853603403,22624810571,22402385830,22186499461,21977182187,21742137240,21514039961,21292628041,21077589642,20868370354,20644174315,20445466707,20251028212,20060271219,19872614417,19675600647,19449712605,19214295601,18969227641,18714238134,18449290557,18174391582,17889592904,17594816880,17290217865,16975828922,16635219043,16285892819,15928086334,15562096564,15188280614,14806905015,14418454439,14023327164,13622128201,13215378643
wood products 16,16976988774,13417617692,19070992011,19213889608,19317404949,19395279071,19455813971,19493834528,19529224268,19562407294,19593684495,19594218411,19593109017,19590398200,19586066065,19579847941,19552282972,19541735506,19528481240,19512129685,19492273502,19456739730,19385924901,19298670187,19194728919,19073710219,18935466811,18779906586,18606996207,18416580254,18208757691,17983515161,17723311481,17446586949,17153613179,16844744648,16520419218,16180994583,15827084431,15459227504,15078209347,14684743156
pulp paper and printing 17T18,2.74505E+11,2.60066E+11,2.96806E+11,3.07896E+11,3.18253E+11,3.28066E+11,3.37455E+11,3.46316E+11,3.54992E+11,3.63498E+11,3.71845E+11,3.79482E+11,3.86957E+11,3.94276E+11,4.01447E+11,4.08468E+11,4.14933E+11,4.21653E+11,4.28221E+11,4.34632E+11,4.4088E+11,4.46687E+11,4.51588E+11,4.55998E+11,4.59899E+11,4.63273E+11,4.66104E+11,4.68378E+11,4.70083E+11,4.71204E+11,4.7173E+11,4.71651E+11,4.70487E+11,4.68705E+11,4.66301E+11,4.63273E+11,4.59621E+11,4.55344E+11,4.50448E+11,4.44936E+11,4.38821E+11,4.32113E+11
refined petroleum and coke 19,9.26728E+13,9.14291E+13,9.63986E+13,9.86425E+13,1.00782E+14,1.02819E+14,1.0479E+14,1.06657E+14,1.08526E+14,1.10397E+14,1.12268E+14,1.13968E+14,1.15663E+14,1.17351E+14,1.19032E+14,1.20704E+14,1.22242E+14,1.23887E+14,1.25516E+14,1.27127E+14,1.28714E+14,1.30197E+14,1.31435E+14,1.32553E+14,1.33543E+14,1.34399E+14,1.35117E+14,1.35692E+14,1.36118E+14,1.36392E+14,1.36508E+14,1.36464E+14,1.36117E+14,1.35604E+14,1.34923E+14,1.34071E+14,1.33048E+14,1.31853E+14,1.30485E+14,1.28946E+14,1.27237E+14,1.2536E+14
chemicals 20,2.88979E+13,2.90753E+13,3.37426E+13,3.48189E+13,3.58171E+13,3.67592E+13,3.76601E+13,3.85072E+13,3.93417E+13,4.0165E+13,4.09781E+13,4.17151E+13,4.24411E+13,4.31567E+13,4.38623E+13,4.45577E+13,4.51947E+13,4.58685E+13,4.65309E+13,4.71813E+13,4.78188E+13,4.84109E+13,4.89033E+13,4.93446E+13,4.97326E+13,5.00649E+13,5.03397E+13,5.05553E+13,5.07102E+13,5.08023E+13,5.08305E+13,5.07932E+13,5.06348E+13,5.04091E+13,5.01153E+13,4.9753E+13,4.9322E+13,4.88219E+13,4.82529E+13,4.76154E+13,4.69102E+13,4.61384E+13
rubber and plastic products 22,1.17341E+11,1.16903E+11,1.33501E+11,1.35903E+11,1.37907E+11,1.39605E+11,1.41058E+11,1.42229E+11,1.43262E+11,1.44164E+11,1.4494E+11,1.45378E+11,1.45696E+11,1.45896E+11,1.45981E+11,1.4595E+11,1.45662E+11,1.45403E+11,1.4503E+11,1.4454E+11,1.43932E+11,1.43118E+11,1.41958E+11,1.40594E+11,1.39029E+11,1.37262E+11,1.35299E+11,1.33142E+11,1.30798E+11,1.28269E+11,1.25564E+11,1.22687E+11,1.19528E+11,1.1622E+11,1.12774E+11,1.09198E+11,1.05503E+11,1.01701E+11,97802603602,93821055996,89769596286,85661475485
cement and other nonmetallic minerals 239,2.4084E+11,2.37555E+11,2.54935E+11,2.5341E+11,2.51449E+11,2.49246E+11,2.46914E+11,2.44392E+11,2.41932E+11,2.39536E+11,2.37204E+11,2.34588E+11,2.3204E+11,2.29559E+11,2.27141E+11,2.24779E+11,2.22251E+11,2.19992E+11,2.17773E+11,2.15588E+11,2.13431E+11,2.11169E+11,2.08592E+11,2.05909E+11,2.03119E+11,2.00219E+11,1.9721E+11,1.94091E+11,1.90866E+11,1.87532E+11,1.84092E+11,1.80548E+11,1.76725E+11,1.7281E+11,1.68807E+11,1.6472E+11,1.60553E+11,1.5631E+11,1.51996E+11,1.47617E+11,1.43179E+11,1.38689E+11
iron and steel 241,12293681526,12269685178,12891321189,13046267019,13175450641,13287984117,13389448271,13476099190,13561725118,13646632331,13731045457,13794454586,13857400743,13919928314,13982037756,14043551897,14090309908,14150194770,14208912097,14266176553,14321684401,14366348785,14385332037,14392462401,14387389699,14369644599,14338932032,14294990609,14237596115,14166421770,14081329464,13982086602,13854604882,13713062005,13557434590,13387761519,13204146060,13006624718,12795440102,12570774789,12333015824,12082495223
other metals 242,1.39022E+11,1.38941E+11,1.46072E+11,1.47972E+11,1.49587E+11,1.5102E+11,1.52333E+11,1.53484E+11,1.54627E+11,1.55766E+11,1.56904E+11,1.57808E+11,1.58711E+11,1.59612E+11,1.60513E+11,1.6141E+11,1.62143E+11,1.6303E+11,1.63907E+11,1.64771E+11,1.65618E+11,1.66345E+11,1.66781E+11,1.67083E+11,1.67247E+11,1.67267E+11,1.67138E+11,1.66858E+11,1.66423E+11,1.65829E+11,1.65073E+11,1.64151E+11,1.629E+11,1.61483E+11,1.59899E+11,1.58148E+11,1.56229E+11,1.54144E+11,1.51893E+11,1.49479E+11,1.46904E+11,1.44173E+11
metal products except machinery and vehicles 25,65257630460,64825488618,67794498487,68261757552,68531463023,68653567026,68658793440,68530350275,68339636380,68089074621,67780560645,67315790588,66796947309,66224999820,65600639817,64923688472,64130984485,63349746320,62515241356,61626873481,60684034270,59650099139,58468440678,57200617528,55848982343,54415704355,52903905008,51317081822,49659108850,47933754213,46145682837,44299473349,42358041736,40373123942,38350560418,36296521054,34217474332,33875524476,33491760967,33066306436,32599827689,32092866519
other manufacturing 31T33,1.18716E+11,1.15852E+11,1.35288E+11,1.43053E+11,1.50449E+11,1.57554E+11,1.6442E+11,1.70992E+11,1.77437E+11,1.83764E+11,1.8998E+11,1.95803E+11,2.01511E+11,2.0711E+11,2.12603E+11,2.17993E+11,2.23062E+11,2.28246E+11,2.33327E+11,2.38305E+11,2.43176E+11,2.47787E+11,2.51876E+11,2.5567E+11,2.59157E+11,2.62323E+11,2.65159E+11,2.67653E+11,2.69797E+11,2.7158E+11,2.72993E+11,2.74027E+11,2.74401E+11,2.74383E+11,2.73968E+11,2.73153E+11,2.71935E+11,2.70313E+11,2.68287E+11,2.65859E+11,2.63032E+11,2.59812E+11
glass and glass products 231,17933087925,17513800813,19945993320,20372412029,20742226988,21069238306,21362087148,21614922020,21849765945,22067492694,22268824538,22421125162,22557625705,22678752556,22784836268,22875897687,22929419546,22990602987,23036662609,23067382261,23082509942,23067831522,23000267449,22902371622,22774128206,22615385467,22426317344,22207200529,21958419037,21680251232,21373314406,21038132129,20654840766,20245719814,19811755889,19354063886,18873884670,18372395910,17851093387,17311409730,16755073553,16183745319
road vehicles 29,83991664913,77780153453,96121225509,98004996076,99647901600,1.01116E+11,1.02452E+11,1.03625E+11,1.04742E+11,1.05806E+11,1.0682E+11,1.07627E+11,1.08385E+11,1.09095E+11,1.0976E+11,1.10378E+11,1.10841E+11,1.11366E+11,1.11842E+11,1.12269E+11,1.12644E+11,1.12898E+11,1.12916E+11,1.12807E+11,1.1257E+11,1.12202E+11,1.11703E+11,1.11072E+11,1.1031E+11,1.09415E+11,1.08389E+11,1.07232E+11,1.05841E+11,1.04324E+11,1.02686E+11,1.00929E+11,99057209517,97072843691,94981199909,92786723708,90495410645,88112885891
nonroad vehicles 30,20636289015,19130767131,23667881162,24158686420,24591613939,24982926458,25342710030,25663828241,25972220075,26268760937,26554160758,26789286614,27013537777,27227275783,27430758951,27623882205,27779240690,27951379753,28112665415,28262715095,28401098324,28510122365,28560752310,28580300442,28568273904,28523970950,28447058723,28337297451,28194547560,28018496099,27809227811,27566670212,27263799721,26928777539,26562032926,26164139257,25735816108,25277674850,24790742684,24275947431,23734621514,23168002014
appliances and electrical equipment 27,39155595808,41170164662,45412277178,45730727719,45940346913,46074178449,46152322905,46162911175,46153437986,46125145970,46078960959,45947455639,45799472065,45635318640,45455142166,45258508550,45000798194,44770677744,44522727377,44256225602,43970424429,43638202904,43216531891,42748692873,42234967391,41675382473,41070565864,40421323797,39728646192,38993320531,38216735111,37400094877,36508559318,35582166551,34622861107,33632792628,32614308329,31569624545,30501483907,29412494704,28305743029,27184169048
computers and electronics 26,4390600545,4120005992,4737154965,4749190797,4742651705,4721171309,4687018499,4639204683,4582715920,4517786008,4444604445,4356866640,4261419973,4158390127,4047879575,3929933146,3800862320,3668345816,3720986755,3772769155,3823629337,3871157004,3911305384,3947671587,3980104393,4008418033,4032472546,4052136306,4067287364,4077774003,4083497199,4084330721,4076113970,4062859556,4044505128,4021007472,3992343673,3958472177,3919414687,3875176927,3825829045,3771427367
other machinery 28,11122854714,11429609540,12451438207,12764059841,13050273424,13318401828,13573600672,13811847397,14046923515,14279258542,14509201427,14715224029,14918704008,15119803244,15318630534,15515093931,15693677292,15885068253,16073706478,16259331598,16441649156,16610300001,16748004315,16870281369,16976533616,17066017372,17138185519,17192526702,17228570674,17245721143,17243604966,17221733539,17162631385,17083282764,16983463146,16863027140,16721912943,16559979045,16377347032,16174069462,15950465627,15706794383
water and waste 36T39,2927067030,2971896317,3246687756,3309389503,3364989990,3415719702,3462951187,3505697850,3547488706,3588427136,3628595101,3662628465,3695893462,3728424771,3760244040,3791324044,3817886242,3847409887,3876091035,3903866015,3930664456,3954021650,3969874600,3981970881,3990207138,3994447894,3994606157,3990605141,3982379349,3969835920,3952935298,3931612897,3901943931,3867871318,3829393898,3786529192,3739314054,3687767948,3631969373,3571981320,3507925469,3439909333
energy pipelines and gas processing 352T353,571992927.2,545525605.9,662261958.5,708801180.4,753474363.6,796642027.1,838549717.7,878905181.8,918556012.6,957551913.1,995937717,1032223744,1067866198,1102897451,1137344930,1171219748,1203348348,1236080564,1268254035,1299859236,1330881958,1360481763,1387206176,1412288893,1435658621,1457231227,1476938739,1494716189,1510502234,1524224527,1535830389,1545257185,1550907340,1554276667,1555328870,1554035522,1550376658,1544325724,1535881459,1525037203,1511812475,1496222383
construction 41T43,6.08381E+12,6.5428E+12,7.02655E+12,7.00331E+12,6.97502E+12,6.93484E+12,6.88429E+12,6.83054E+12,6.76831E+12,6.70391E+12,6.63267E+12,6.55559E+12,6.47767E+12,6.39519E+12,6.30892E+12,6.22285E+12,6.13393E+12,6.0457E+12,5.95542E+12,5.86356E+12,5.77295E+12,5.6813E+12,5.58894E+12,5.49813E+12,5.40693E+12,5.31734E+12,5.22756E+12,5.13774E+12,5.04948E+12,4.96122E+12,4.87437E+12,4.78748E+12,4.70056E+12,4.61473E+12,4.54829E+12,4.46272E+12,4.37676E+12,4.29033E+12,4.20419E+12,4.1173E+12,4.03031E+12,3.94223E+12
