Unit: dimensionless (% change),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
ISIC 01T03,-0.03340409,-0.071376385,-0.082378949,-0.093472316,-0.10495042,-0.116737874,-0.128519605,-0.140520989,-0.152469858,-0.164564865,-0.176761576,-0.188849565,-0.200986704,-0.213141056,-0.225147615,-0.237134573,-0.248956945,-0.26073075,-0.272437901,-0.283963245,-0.295403882,-0.30674809,-0.317904043,-0.328954475,-0.339818429,-0.350572531,-0.361212812,-0.37167467,-0.382024943,-0.39220678,-0.402282715,-0.412254282,-0.422076333,-0.43180437,-0.441398914,-0.450912309,-0.460350034,-0.469681301,-0.478953426,-0.488140118,-0.497286631
ISIC 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISIC 06,0.040187747,-0.110581641,-0.059003041,-0.011803343,0.032387652,0.073925453,0.112944717,0.149798183,0.184684838,0.217774753,0.249215282,0.279135451,0.307649172,0.334857697,0.360851519,0.385711904,0.409512135,0.432318541,0.454191363,0.475185481,0.495351047,0.514734013,0.533376604,0.551497066,0.568733021,0.585327301,0.601311181,0.616713778,0.631562259,0.645882015,0.659696823,0.673028991,0.685899479,0.698328017,0.7103332,0.721685718,0.732794158,0.743523834,0.753889994,0.763907109,0.773588923
ISIC 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISIC 09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISIC 10T12,0.314820897,0.153306185,0.132631548,0.111304333,0.090597236,0.070554358,0.051051827,0.032217709,0.014047788,-0.003468271,-0.020344656,-0.036598039,-0.052246686,-0.067309844,-0.08180731,-0.095759104,-0.109185233,-0.122105507,-0.134539407,-0.14650598,-0.158023765,-0.169110746,-0.17978431,-0.189967589,-0.199886086,-0.209443082,-0.218653144,-0.227530248,-0.236087798,-0.24433863,-0.252295036,-0.259968781,-0.26737112,-0.274512817,-0.281404168,-0.288157087,-0.294616842,-0.300855643,-0.306881971,-0.312703942,-0.318329324
ISIC 13T15,0.187947032,0.160997206,0.056348499,0.026900041,0.001675008,-0.021407225,-0.043094854,-0.063617451,-0.083223715,-0.102078852,-0.120296265,-0.137956269,-0.155117477,-0.171823939,-0.188109703,-0.204001809,-0.219522284,-0.234689495,-0.249519086,-0.264024636,-0.278218125,-0.29211028,-0.305710814,-0.320428256,-0.333156428,-0.345555917,-0.357637728,-0.369412325,-0.380889672,-0.392079273,-0.402990198,-0.413631118,-0.424010331,-0.434135781,-0.444015084,-0.453733872,-0.463167565,-0.472375265,-0.481363481,-0.490138477,-0.498706284
ISIC 16,-0.082356045,-0.103173762,-0.12938746,-0.15283994,-0.173649795,-0.192691907,-0.210583516,-0.227514009,-0.243688557,-0.259243448,-0.274272238,-0.288841183,-0.302998637,-0.31678094,-0.33021618,-0.343326665,-0.356130566,-0.368643035,-0.380876979,-0.392843599,-0.404552779,-0.416013367,-0.427233378,-0.438155202,-0.448939421,-0.459502644,-0.469850688,-0.47998905,-0.489922953,-0.499657371,-0.50919706,-0.518546578,-0.527710306,-0.536692458,-0.545497101,-0.554192086,-0.56267151,-0.570983417,-0.579131459,-0.58711918,-0.594950021
ISIC 17T18,0.095609122,0.030570121,0.036154886,0.039775582,0.042707964,0.045105994,0.046941001,0.048417917,0.049605034,0.050556555,0.051316207,0.051919645,0.052396155,0.052769903,0.053060884,0.053285667,0.053457981,0.053589203,0.053688743,0.053764369,0.053822477,0.053868315,0.053906168,0.054061366,0.054065247,0.054064186,0.054060314,0.054055354,0.054050695,0.054047439,0.054046453,0.054048405,0.0540538,0.054063005,0.054076276,0.053942656,0.053903476,0.053866062,0.0538306,0.053797223,0.053766024
ISIC 19,0.054085198,0.229626243,0.218728918,0.20649611,0.194348893,0.182387357,0.170517425,0.158917563,0.147616654,0.13663307,0.125977812,0.115656524,0.105670859,0.096019458,0.086698674,0.077703122,0.069026116,0.060660004,0.052596439,0.044826598,0.037341351,0.0301314,0.023187391,0.016617517,0.010150242,0.003916457,-0.002092352,-0.007884502,-0.013468092,-0.018850983,-0.024040792,-0.029044882,-0.033870359,-0.038524074,-0.043012625,-0.047478934,-0.051710286,-0.055796708,-0.059743646,-0.063556332,-0.067239789
ISIC 20,0.265866971,0.236487986,0.249762436,0.260303056,0.269678354,0.278104355,0.285569069,0.292343102,0.29852808,0.304206372,0.30944585,0.314303107,0.318825745,0.32305406,0.327022338,0.330759872,0.334291774,0.337639638,0.34082208,0.343855196,0.346752934,0.349527413,0.352189191,0.354904116,0.357331499,0.359663338,0.361906329,0.364066426,0.366148943,0.368158641,0.370099796,0.371976265,0.37379154,0.375548791,0.377250908,0.378702848,0.380222324,0.381690455,0.383109585,0.384481891,0.385809406
ISIC 21,0.265866971,0.236487986,0.249762436,0.260303056,0.269678354,0.278104355,0.285569069,0.292343102,0.29852808,0.304206372,0.30944585,0.314303107,0.318825745,0.32305406,0.327022338,0.330759872,0.334291774,0.337639638,0.34082208,0.343855196,0.346752934,0.349527413,0.352189191,0.354904116,0.357331499,0.359663338,0.361906329,0.364066426,0.366148943,0.368158641,0.370099796,0.371976265,0.37379154,0.375548791,0.377250908,0.378702848,0.380222324,0.381690455,0.383109585,0.384481891,0.385809406
ISIC 22,0.265866971,0.236487986,0.249762436,0.260303056,0.269678354,0.278104355,0.285569069,0.292343102,0.29852808,0.304206372,0.30944585,0.314303107,0.318825745,0.32305406,0.327022338,0.330759872,0.334291774,0.337639638,0.34082208,0.343855196,0.346752934,0.349527413,0.352189191,0.354904116,0.357331499,0.359663338,0.361906329,0.364066426,0.366148943,0.368158641,0.370099796,0.371976265,0.37379154,0.375548791,0.377250908,0.378702848,0.380222324,0.381690455,0.383109585,0.384481891,0.385809406
ISIC 231,-0.865961151,-0.537515923,-0.500334398,-0.466024556,-0.433814269,-0.403469341,-0.374884432,-0.347837149,-0.322192989,-0.297836196,-0.274665858,-0.252593112,-0.231539083,-0.211433307,-0.1922125,-0.173819564,-0.156202782,-0.13931514,-0.123113766,-0.107559445,-0.092616211,-0.078250989,-0.064433286,-0.051025224,-0.038244155,-0.025937994,-0.014083954,-0.002660773,0.00835143,0.018971274,0.029216225,0.039102699,0.048646143,0.057861116,0.066761362,0.075205698,0.08345097,0.09141502,0.099109122,0.10654398,0.113729771
ISIC 239,0.3314048,0.225659278,0.250316647,0.271604102,0.291142614,0.309201066,0.325806774,0.341271227,0.355729603,0.369293868,0.382058259,0.394103038,0.405497185,0.416300415,0.426564727,0.436335624,0.445653108,0.45455248,0.46306501,0.471218502,0.479037757,0.486544977,0.493760099,0.500874593,0.507518655,0.513911256,0.52006627,0.525996394,0.531713283,0.537227665,0.542549444,0.547687786,0.5526512,0.557447603,0.562084378,0.566343836,0.570590171,0.574692087,0.578655618,0.582486455,0.586189971
ISIC 241,0.348371475,0.213047824,0.198776103,0.183389018,0.168268215,0.153495667,0.138966562,0.124843714,0.111145072,0.097879472,0.085049514,0.072653366,0.060685984,0.049139973,0.038006218,0.027274366,0.016933193,0.006970894,-0.002624689,-0.011865888,-0.020765073,-0.029334534,-0.037586401,-0.045422231,-0.053100069,-0.060499562,-0.067631327,-0.07450565,-0.081132476,-0.0875214,-0.093681671,-0.099622188,-0.105351509,-0.110877855,-0.116209115,-0.121478831,-0.126492237,-0.131334029,-0.136010715,-0.140528537,-0.14489348
ISIC 242,0.348371475,0.213047824,0.198776103,0.183389018,0.168268215,0.153495667,0.138966562,0.124843714,0.111145072,0.097879472,0.085049514,0.072653366,0.060685984,0.049139973,0.038006218,0.027274366,0.016933193,0.006970894,-0.002624689,-0.011865888,-0.020765073,-0.029334534,-0.037586401,-0.045422231,-0.053100069,-0.060499562,-0.067631327,-0.07450565,-0.081132476,-0.0875214,-0.093681671,-0.099622188,-0.105351509,-0.110877855,-0.116209115,-0.121478831,-0.126492237,-0.131334029,-0.136010715,-0.140528537,-0.14489348
ISIC 25,0.200600821,0.032318587,0.003833255,-0.024663392,-0.052089621,-0.078453473,-0.098876841,-0.11820309,-0.136666423,-0.154422415,-0.17157786,-0.188208388,-0.204369199,-0.220101771,-0.23543817,-0.250403859,-0.265019581,-0.279302632,-0.293267744,-0.306927705,-0.320293797,-0.33337612,-0.346183823,-0.362472768,-0.37388624,-0.384882381,-0.395478548,-0.405691305,-0.415536461,-0.425029095,-0.434183592,-0.443013676,-0.451532436,-0.459752363,-0.467685373,-0.475418059,-0.482839813,-0.490007827,-0.496931911,-0.503621441,-0.510085381
ISIC 26,0.093334204,0.124395318,0.133039877,0.139395112,0.144867614,0.14963751,0.153682215,0.157234917,0.160377765,0.163176626,0.165685187,0.167947711,0.170000987,0.171875769,0.173597866,0.17518901,0.176667535,0.178048933,0.179346316,0.18057079,0.181731766,0.182837231,0.183893963,0.185044706,0.185989221,0.186893564,0.187761666,0.188596916,0.189402245,0.190180189,0.190932951,0.191662445,0.192370343,0.193058103,0.193727009,0.194206955,0.194772174,0.19531857,0.195847168,0.196358899,0.196854606
ISIC 27,0.40420255,0.285637189,0.274843532,0.262619116,0.250453203,0.238453298,0.226523086,0.214851418,0.20347029,0.192400494,0.181654938,0.171240783,0.161160898,0.151414891,0.141999888,0.132911121,0.124142386,0.115686407,0.107535128,0.09967994,0.092111871,0.084821732,0.077800235,0.071161916,0.064621194,0.058316418,0.052239064,0.04638079,0.040733463,0.035289175,0.03004026,0.024979298,0.020099121,0.015392816,0.010853722,0.006331133,0.002050026,-0.00208443,-0.006077734,-0.009935174,-0.013661825
ISIC 28,0.252834762,0.177515715,0.205712748,0.230413478,0.253201155,0.274355565,0.293918322,0.312205635,0.329360874,0.345503496,0.360734604,0.37514078,0.388796841,0.401767908,0.414110997,0.425876283,0.437108117,0.447845862,0.458124587,0.467975647,0.477427172,0.486504486,0.495230458,0.50379965,0.5118442,0.51958571,0.527040349,0.534222979,0.5411473,0.547825975,0.554270739,0.560492495,0.566501394,0.572306915,0.577917923,0.583115731,0.58826954,0.593247939,0.598058177,0.602707107,0.607201209
ISIC 29,0.168496925,0.172665347,0.166156706,0.158151519,0.150027394,0.141898272,0.133687677,0.125580415,0.117615666,0.109821189,0.102216581,0.094815387,0.087626545,0.080655438,0.073904668,0.067374666,0.061064155,0.054970533,0.049090169,0.043418649,0.037950975,0.032681719,0.027605161,0.022833626,0.018097315,0.013530733,0.009128207,0.004884098,0.00079284,-0.003151034,-0.006952874,-0.010617898,-0.014151178,-0.017557636,-0.020842036,-0.024148907,-0.027258748,-0.030261961,-0.033162485,-0.035964118,-0.038670516
ISIC 30,0.168496925,0.172665347,0.166156706,0.158151519,0.150027394,0.141898272,0.133687677,0.125580415,0.117615666,0.109821189,0.102216581,0.094815387,0.087626545,0.080655438,0.073904668,0.067374666,0.061064155,0.054970533,0.049090169,0.043418649,0.037950975,0.032681719,0.027605161,0.022833626,0.018097315,0.013530733,0.009128207,0.004884098,0.00079284,-0.003151034,-0.006952874,-0.010617898,-0.014151178,-0.017557636,-0.020842036,-0.024148907,-0.027258748,-0.030261961,-0.033162485,-0.035964118,-0.038670516
ISIC 31T33,0.070809441,0.043122594,0.053955469,0.062503027,0.070086383,0.076886038,0.082890632,0.088327076,0.093280009,0.097817954,0.101997312,0.105865059,0.109460656,0.112817472,0.115963857,0.118924,0.121718605,0.124365447,0.126879824,0.129274937,0.131562205,0.133751527,0.135851508,0.138001201,0.139914214,0.14175161,0.143518806,0.145220611,0.146861303,0.148444708,0.149974253,0.151453023,0.152883803,0.154269114,0.155611251,0.156746447,0.157941165,0.159095541,0.160211434,0.161290571,0.162334557
ISIC 351,0.177046734,0.150344194,0.116720316,0.086638207,0.059945751,0.035520748,0.012571477,-0.009144987,-0.029891812,-0.049843814,-0.069120994,-0.087808339,-0.105967871,-0.123646203,-0.140879363,-0.157695966,-0.174119318,-0.190168856,-0.205861133,-0.221210519,-0.236229691,-0.250929997,-0.26532172,-0.279330963,-0.293163702,-0.306712975,-0.319986239,-0.332990549,-0.345732602,-0.358218779,-0.37045518,-0.382447653,-0.394201815,-0.405723073,-0.417016643,-0.42295443,-0.431738184,-0.440221652,-0.448416453,-0.456333692,-0.463983981
ISIC 352T353,0.294181845,0.324198206,0.383397173,0.437086476,0.487204837,0.534197784,0.578205826,0.619687958,0.658887745,0.696012006,0.731238886,0.764723511,0.796602131,0.826995243,0.85601002,0.883742258,0.91027795,0.935694586,0.960062242,0.983444504,1.005899242,1.02747929,1.048233015,1.068443933,1.087621628,1.106083801,1.123865939,1.141001001,1.157519658,1.173450521,1.188820325,1.203654105,1.217975346,1.231806117,1.245167192,1.257754424,1.270100766,1.282026275,1.293547975,1.30468201,1.315443704
ISIC 36T39,0.223089038,0.160579669,0.163054227,0.1635359,0.163439422,0.162920016,0.161932388,0.160692976,0.15926726,0.157706225,0.156050167,0.154331226,0.152575151,0.150802597,0.149030108,0.147270877,0.145535357,0.143831745,0.14216639,0.140544107,0.13896846,0.137441978,0.135966344,0.134673717,0.133272192,0.131917103,0.130608448,0.129345916,0.12812895,0.126956799,0.125828559,0.12474321,0.123699645,0.122696696,0.121733152,0.120647088,0.119693942,0.118773809,0.117885669,0.117028501,0.116201292
ISIC 41T43,-0.001495316,0.084134029,0.092454701,0.100044785,0.105787928,0.109866164,0.113392589,0.115477704,0.117125165,0.117533211,0.11683427,0.115851938,0.113929754,0.11117456,0.108268125,0.104663247,0.100978987,0.096711455,0.091932652,0.087158414,0.081956721,0.076379764,0.070857833,0.065013686,0.059237123,0.053172236,0.04684184,0.040569721,0.034036596,0.027534073,0.020756926,0.013701555,0.006607334,-0.00080578,-0.008324833,-0.016220456,-0.024520011,-0.033053651,-0.042074932,-0.051437398,-0.061389366
ISIC 45T47,-0.036541879,0.075146828,0.121656773,0.168369039,0.212550322,0.254278997,0.296022479,0.335404111,0.374809636,0.411987293,0.447066842,0.482202026,0.515418038,0.546854225,0.57845438,0.608469107,0.638760259,0.667655169,0.695278947,0.723304299,0.750216276,0.776112432,0.802487953,0.827946095,0.853899711,0.878980599,0.903212404,0.927838294,0.951555543,0.975520962,0.998434881,1.020211949,1.041838937,1.062038924,1.081703751,1.099538842,1.115316553,1.129749796,1.141533852,1.151273432,1.157630759
ISIC 49T53,-0.111950483,0.086166239,0.121472229,0.156416828,0.188755171,0.218626459,0.248096727,0.275266918,0.302094529,0.326808245,0.349558858,0.37206497,0.392806127,0.411925961,0.430936654,0.448516556,0.466091389,0.482412047,0.497594305,0.512890796,0.527189124,0.5405775,0.554152843,0.566906464,0.579861902,0.592042288,0.603476808,0.615050781,0.625850808,0.636692755,0.646677102,0.655758462,0.664625108,0.672411555,0.679737256,0.685737496,0.690279163,0.693858062,0.695621977,0.695994607,0.694114351
ISIC 55T56,-0.20068262,-0.15389624,-0.128018374,-0.102480649,-0.078960927,-0.05734414,-0.036079178,-0.016578603,0.002621781,0.020208052,0.036299119,0.052174001,0.066709118,0.080015844,0.093214414,0.105331425,0.117420056,0.128562222,0.138846229,0.14919369,0.158789449,0.167700533,0.17673102,0.185143935,0.193687871,0.201650557,0.209055038,0.216546835,0.223462102,0.230394687,0.236692343,0.242324055,0.247789796,0.252464327,0.256797277,0.260165584,0.262475869,0.264088039,0.264390473,0.263691078,0.261373042
ISIC 58T60,0.238420665,0.268131775,0.354407148,0.439757739,0.518703824,0.591458379,0.66272763,0.727993325,0.79168637,0.849674183,0.902288586,0.953349722,0.999421498,1.040835679,1.080862622,1.116616676,1.151110035,1.181681424,1.208596063,1.234389481,1.256785598,1.275981022,1.294083827,1.309124688,1.322995208,1.333857872,1.341787691,1.348319524,1.35185183,1.353739843,1.352499054,1.348114912,1.341669934,1.331900136,1.319760515,1.304118763,1.284955789,1.263054829,1.2375242,1.209080108,1.176982074
ISIC 61,0.192360207,0.175554996,0.255532051,0.334651837,0.407834661,0.475277952,0.54134437,0.601845506,0.6608888,0.714643359,0.763416779,0.810750325,0.853458747,0.89184959,0.928954466,0.962098385,0.994073643,1.022413244,1.047363048,1.071273482,1.092034627,1.109828737,1.126609992,1.140552832,1.15341077,1.163480432,1.170831355,1.176886347,1.180160787,1.18191097,1.180760762,1.176696673,1.170722194,1.161665616,1.150412217,1.135912353,1.118148323,1.097846188,1.074179358,1.047811756,1.018056959
ISIC 62T63,0.259501674,0.311672767,0.400910384,0.489191467,0.570848147,0.646100711,0.719816974,0.78732355,0.85320348,0.913182291,0.967603196,1.020417504,1.068071143,1.11090727,1.152308529,1.189290189,1.224967869,1.256588919,1.284427665,1.311106694,1.334271777,1.354126271,1.372850631,1.388407916,1.402754677,1.413990308,1.422192395,1.428948497,1.432602084,1.434554921,1.43327153,1.428736859,1.422070595,1.411965353,1.399408921,1.383230114,1.363409184,1.340756259,1.314349043,1.28492833,1.251728218
ISIC 64T66,0.089756255,0.18637393,0.283392199,0.385042678,0.486282896,0.586864259,0.691385122,0.794984418,0.902415667,1.008795342,1.114083314,1.222989156,1.330875408,1.437806813,1.548417099,1.658302672,1.772150817,1.885569907,1.998716568,2.116141899,2.233619384,2.35129499,2.473542422,2.596226652,2.723670385,2.851655171,2.98015448,3.113212858,3.246544106,3.384046019,3.521237968,3.657663172,3.796780772,3.933840814,4.072012899,4.206217258,4.335233594,4.461563155,4.57964856,4.691522454,4.791184173
ISIC 68,0.021697359,0.050110349,0.059474141,0.068118197,0.074909784,0.080026916,0.084593335,0.087703936,0.090374581,0.091788118,0.092075851,0.092074321,0.091112961,0.089298415,0.087325352,0.084633697,0.081855445,0.078474203,0.074562418,0.070648141,0.066287822,0.061534132,0.056828653,0.051783366,0.046798912,0.041508741,0.035935766,0.030413478,0.024612382,0.018833185,0.012760436,0.006389863,-3.13207E-05,-0.006793217,-0.013675746,-0.02095972,-0.028674208,-0.036643596,-0.045131632,-0.053986907,-0.063468125
ISIC 69T82,0.259501674,0.311672767,0.400910384,0.489191467,0.570848147,0.646100711,0.719816974,0.78732355,0.85320348,0.913182291,0.967603196,1.020417504,1.068071143,1.11090727,1.152308529,1.189290189,1.224967869,1.256588919,1.284427665,1.311106694,1.334271777,1.354126271,1.372850631,1.388407916,1.402754677,1.413990308,1.422192395,1.428948497,1.432602084,1.434554921,1.43327153,1.428736859,1.422070595,1.411965353,1.399408921,1.383230114,1.363409184,1.340756259,1.314349043,1.28492833,1.251728218
ISIC 84,0.184974062,0.16275748,0.241863876,0.320122336,0.392508465,0.459217544,0.524564739,0.584407238,0.642807766,0.695977133,0.744219588,0.791037844,0.833281326,0.871254232,0.907955172,0.940738274,0.972365438,1.000396524,1.025074715,1.048724851,1.069259983,1.08686038,1.103458948,1.117250002,1.129967963,1.139928004,1.147198902,1.153187977,1.15642677,1.1581579,1.157020213,1.153000367,1.147090929,1.138132944,1.127002054,1.11266004,1.095089396,1.075008277,1.051599093,1.025518539,0.996087662
ISIC 85,0.244290301,0.280181173,0.367276307,0.453437874,0.533134081,0.606579927,0.678526356,0.744412185,0.808710422,0.867249217,0.920363546,0.97190985,1.018419386,1.060227071,1.100634338,1.136728116,1.17154922,1.20241109,1.229581463,1.255619962,1.27822888,1.297606693,1.315881505,1.33106528,1.345067593,1.356033471,1.364038637,1.370632533,1.374198402,1.376104354,1.374851776,1.370425977,1.363919761,1.354057133,1.341802165,1.32601179,1.306666736,1.284557679,1.258784466,1.230070108,1.197667088
ISIC 86T88,0.24890751,0.28969958,0.377442284,0.46424448,0.544533244,0.618525175,0.69100654,0.757382244,0.822158551,0.881132595,0.934641839,0.9865714,1.033426744,1.075545278,1.116252981,1.152615124,1.18769513,1.218786463,1.246158854,1.272390954,1.295167975,1.314689866,1.333100554,1.348397224,1.362503647,1.373551058,1.381615744,1.388258667,1.39185105,1.393771173,1.392509281,1.388050575,1.381495984,1.371560026,1.35921394,1.34330616,1.323817271,1.301543829,1.275578987,1.246651132,1.214007189
ISIC 90T96,0.233490728,0.258055447,0.343645293,0.428317706,0.5066365,0.578812962,0.649515921,0.714263027,0.777449979,0.834977033,0.887173372,0.937828787,0.983534485,1.024619597,1.064328494,1.099798454,1.134017735,1.16434621,1.19104699,1.216635458,1.238853621,1.257896522,1.275855485,1.290776834,1.304537141,1.315313493,1.323180304,1.329660235,1.333164475,1.335037486,1.333806556,1.329457249,1.323063482,1.313371313,1.301328151,1.285810685,1.266799977,1.245073037,1.219745269,1.191527189,1.1596842
ISIC 97T98,0.177473704,0.146384849,0.224377359,0.301533872,0.372900742,0.438670499,0.503097549,0.562097414,0.619675612,0.672096308,0.719659468,0.765818482,0.80746714,0.844905354,0.881089513,0.913411001,0.944592827,0.972229211,0.996559911,1.019877033,1.040123013,1.057475581,1.073840427,1.087437291,1.099976172,1.109795967,1.116964484,1.122869228,1.126062416,1.12776917,1.126647503,1.12268426,1.116858032,1.108026183,1.097052026,1.08291196,1.065588726,1.045790366,1.022710804,0.996997486,0.967981022
